date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:56	60586/60586	---M--	200	added ('OK')	image/svg+xml	etag:%22ecaa-567d087843400%22	http://138.197.118.185/fonts/eightyshades.svg?36688b327676c0950f23d775f6a3b4d1	/home/nejos97/websites/admin%20template/138.197.118.185/fonts/eightyshades0093.svg	(from http://138.197.118.185/app/css/assets.css)
12:08:58	395/395	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2021%20Jun%202018%2011:08:57%20GMT	http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-stroke.ttf?d7yf1v	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/fonts/Pe-icon-7-strokebb1d.ttf	(from http://138.197.118.185/platinum-demo/assets/plugins/pixeden-icon/pe-icon-7-stroke/css/pe-icon-7-stroke.css)
12:09:03	1843262/1843262	UR-MCZ	200	added ('OK')	application/javascript	etag:%221c203e-567d087937640-gzip%22	http://138.197.118.185/app/js/vendor.js	/home/nejos97/websites/admin%20template/138.197.118.185/app/js/vendor.js	(from http://138.197.118.185/platinum-demo/dripicon-icon.html)
12:09:28	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-567d087843400%22	http://138.197.118.185/fonts/fontawesome-webfont.svg?912ec66d7572ff821749319396470bde	/home/nejos97/websites/admin%20template/138.197.118.185/fonts/fontawesome-webfont2f98.svg	(from http://138.197.118.185/app/css/assets.css)
12:09:44	123620/123620	---M--	200	added ('OK')	image/svg+xml	etag:%221e2e4-567d087843400%22	http://138.197.118.185/images/foundation-icons.svg?784d20c62fd32b4aab71fe19347962af	/home/nejos97/websites/admin%20template/138.197.118.185/images/foundation-icons3160.svg	(from http://138.197.118.185/app/css/assets.css)
12:09:48	239045/239045	---M--	200	added ('OK')	image/svg+xml	etag:%223a5c5-567d087843400%22	http://138.197.118.185/fonts/Simple-Line-Icons.svg?2fe2efe63441d830b1acd106c1fe8734	/home/nejos97/websites/admin%20template/138.197.118.185/fonts/Simple-Line-Icons8c21.svg	(from http://138.197.118.185/app/css/assets.css)
12:09:48	4976/4976	URF---	200	added ('OK%20(cached)')	image/png		http://138.197.118.185/platinum-demo/assets/plugins/owl-carousel/dist/assets/owl.video.play.png	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/owl-carousel/dist/assets/owl.video.play.png	(from http://138.197.118.185/platinum-demo/assets/plugins/owl-carousel/dist/assets/owl.carousel.min.css)
12:10:08	160314/160314	---M--	200	added ('OK')	image/svg+xml	etag:%222723a-567d087843400%22	http://138.197.118.185/images/typicons.svg?0655dd59e3ae46c664f239b03eddd5ef	/home/nejos97/websites/admin%20template/138.197.118.185/images/typiconse287.svg	(from http://138.197.118.185/app/css/assets.css)
12:10:13	234269/234269	---M--	200	added ('OK')	image/svg+xml	etag:%223931d-567d087843400%22	http://138.197.118.185/fonts/themify.svg?9c8e96ecc7fa01e6ebcd196495ed2db5	/home/nejos97/websites/admin%20template/138.197.118.185/fonts/themify15ac.svg	(from http://138.197.118.185/app/css/assets.css)
12:10:14	2936/2936	---M--	200	added ('OK')	image/png	etag:%22b78-567d087843400%22	http://138.197.118.185/images/owl.video.play.png?4cbde124d6cd8122c801118696c16f07	/home/nejos97/websites/admin%20template/138.197.118.185/images/owl.video.play9a7d.png	(from http://138.197.118.185/app/css/assets.css)
12:10:21	184969/184969	---M--	200	added ('OK')	image/svg+xml	etag:%222d289-567d087843400%22	http://138.197.118.185/fonts/weathericons-regular-webfont.svg?ecaf8b481729b18f6a8494d9f691cdae	/home/nejos97/websites/admin%20template/138.197.118.185/fonts/weathericons-regular-webfontb6aa.svg	(from http://138.197.118.185/app/css/assets.css)
12:10:21	117/117	---M--	200	added ('OK')	image/png	etag:%2275-567d087843400%22	http://138.197.118.185/images/select-arrow-black.png?24b260ea05dd922012d88c2f4c132285	/home/nejos97/websites/admin%20template/138.197.118.185/images/select-arrow-black0dcb.png	(from http://138.197.118.185/app/css/assets.css)
12:10:21	2843/2843	URF---	200	added ('OK%20(cached)')	image/png		http://138.197.118.185/platinum-demo/assets/images/select-arrow-black.png	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/images/select-arrow-black.png	(from http://138.197.118.185/platinum-demo/assets/css/main.css)
12:10:24	13672/13672	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223568-4d4fb2dbbba00%22	http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.eot	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.eot	(from http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/style.css)
12:10:27	13672/13672	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223568-4d4fb2dbbba00%22	http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.eot?	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshadesd41d.eot	(from http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/style.css)
12:10:27	11708/11708	---M--	200	added ('OK')	application/font-woff	etag:%222dbc-4d4fb2dbbba00%22	http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.woff	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.woff	(from http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/style.css)
12:10:31	13488/13488	---M--	200	added ('OK')	application/font-sfnt	etag:%2234b0-4d4fb2dbbba00%22	http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.ttf	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.ttf	(from http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/style.css)
12:10:35	76728/76728	---M--	200	added ('OK')	image/jpeg	etag:%2212bb8-567d087843400%22	http://138.197.118.185/images/bulldozer.jpg?c865ee0823433f478b731dd154998a59	/home/nejos97/websites/admin%20template/138.197.118.185/images/bulldozerac27.jpg	(from http://138.197.118.185/app/css/assets.css)
12:10:36	40104/40104	URF---	200	added ('OK%20(cached)')	application/ttf		http://138.197.118.185/platinum-demo/assets/fonts/HelveticaNeue.ttf	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/fonts/HelveticaNeue.ttf	(from http://138.197.118.185/platinum-demo/assets/css/main.css)
12:10:38	164020/164020	---M--	200	added ('OK')	image/svg+xml	etag:%22280b4-567d087843400%22	http://138.197.118.185/fonts/Pe-icon-7-stroke.svg?c45f7de008ab976a8e817e3c0e5095ca	/home/nejos97/websites/admin%20template/138.197.118.185/fonts/Pe-icon-7-stroke0e0b.svg	(from http://138.197.118.185/app/css/assets.css)
12:10:44	60586/60586	---M--	200	added ('OK')	image/svg+xml	etag:%22ecaa-4d4fb2dbbba00%22	http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.svg	/home/nejos97/websites/admin%20template/138.197.118.185/platinum-demo/assets/plugins/eightyshades/fonts/eightyshades.svg	(from http://138.197.118.185/platinum-demo/assets/plugins/eightyshades/style.css)
